,id,year,brand,model,description,price,odometer,bodytype,cylinder,volume,turbo,fueltype,hybrid,electric,state,url
0,OAG-AD-21009111,2017,alfa romeo,giulietta,super auto,31900,21547.0,hatch,4,1.4,True,petrol,False,False,SA,/cars/details/2017-alfa-romeo-giulietta-super-auto/OAG-AD-21009111/?Cr=0
1,OAG-AD-20997418,2018,alfa romeo,giulia,veloce auto,57990,19120.0,sedan,4,2.0,True,petrol,False,False,VIC,/cars/details/2018-alfa-romeo-giulia-veloce-auto/OAG-AD-20997418/?Cr=1
2,OAG-AD-20505031,2021,alfa romeo,stelvio,quadrifoglio auto awd my21,176388,2021.0,suv,6,2.9,True,petrol,False,False,NSW,/cars/details/2021-alfa-romeo-stelvio-quadrifoglio-auto-awd-my21/OAG-AD-20505031/?Cr=2
3,OAG-AD-20409644,1966,alfa romeo,giulia,super manual,89899,8325.0,sedan,4,1600.0,False,petrol,False,False,SA,/cars/details/1966-alfa-romeo-giulia-super-manual/OAG-AD-20409644/?Cr=3
4,OAG-AD-20853662,2015,alfa romeo,giulietta,distinctive auto,18999,51565.0,hatch,4,1.4,True,petrol,False,False,WA,/cars/details/2015-alfa-romeo-giulietta-distinctive-auto/OAG-AD-20853662/?Cr=4
5,SSE-AD-12755084,1974,alfa romeo,2000,gt veloce manual,72500,87719.0,coupe,4,2000.0,False,petrol,False,False,QLD,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12755084/?Cr=5
6,OAG-AD-20603382,2016,alfa romeo,giulia,veloce auto,46990,72317.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2016-alfa-romeo-giulia-veloce-auto/OAG-AD-20603382/?Cr=6
7,OAG-AD-20903449,2021,alfa romeo,giulia,sport auto my21,67274,2021.0,sedan,4,2.0,True,petrol,False,False,ACT,/cars/details/2021-alfa-romeo-giulia-sport-auto-my21/OAG-AD-20903449/?Cr=7
8,OAG-AD-20822804,2017,alfa romeo,giulia,quadrifoglio auto,105990,26352.0,sedan,6,2.9,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/OAG-AD-20822804/?Cr=8
9,OAG-AD-20955203,2022,alfa romeo,giulia,quadrifoglio auto my22,160351,2022.0,sedan,6,2.9,True,petrol,False,False,WA,/cars/details/2022-alfa-romeo-giulia-quadrifoglio-auto-my22/OAG-AD-20955203/?Cr=9
10,OAG-AD-20794100,2017,alfa romeo,giulietta,super auto,32290,50200.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulietta-super-auto/OAG-AD-20794100/?Cr=12
11,OAG-AD-20813439,2021,alfa romeo,stelvio,sport auto awd my21,74760,2021.0,suv,4,2.0,True,petrol,False,False,VIC,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-20813439/?Cr=13
