,title,url,price,km,body_type,matic,petrol,location
0,2017 Alfa Romeo Giulietta Super Auto,/cars/details/2017-alfa-romeo-giulietta-super-auto/OAG-AD-21009111/?Cr=0,"$31,900*","21,547 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,SA
1,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/OAG-AD-20997418/?Cr=1,"$57,990*","19,120 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
2,2021 Alfa Romeo Stelvio Quadrifoglio Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-quadrifoglio-auto-awd-my21/OAG-AD-20505031/?Cr=2,"$176,388",Build date Sep 2021,SUV,Automatic,6cyl 2.9L Turbo Petrol,NSW
3,1966 Alfa Romeo Giulia Super Manual,/cars/details/1966-alfa-romeo-giulia-super-manual/OAG-AD-20409644/?Cr=3,"$89,899*","8,325 km",Sedan,Manual,4cyl 1600L Petrol,SA
4,2015 Alfa Romeo Giulietta Distinctive Auto,/cars/details/2015-alfa-romeo-giulietta-distinctive-auto/OAG-AD-20853662/?Cr=4,"$18,999*","51,565 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,WA
5,1974 Alfa Romeo 2000 GT Veloce Manual,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12755084/?Cr=5,"$72,500*","87,719 km",Coupe,Manual,4cyl 2000L Petrol,QLD
6,2016 Alfa Romeo Giulia Veloce Auto,/cars/details/2016-alfa-romeo-giulia-veloce-auto/OAG-AD-20603382/?Cr=6,"$46,990","72,317 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
7,2021 Alfa Romeo Giulia Sport Auto MY21,/cars/details/2021-alfa-romeo-giulia-sport-auto-my21/OAG-AD-20903449/?Cr=7,"$67,274",Build date Feb 2021,Sedan,Automatic,4cyl 2.0L Turbo Petrol,ACT
8,2017 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/OAG-AD-20822804/?Cr=8,"$105,990*","26,352 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,NSW
9,2022 Alfa Romeo Giulia Quadrifoglio Auto MY22,/cars/details/2022-alfa-romeo-giulia-quadrifoglio-auto-my22/OAG-AD-20955203/?Cr=9,"$160,351",Build date Apr 2022,Sedan,Automatic,6cyl 2.9L Turbo Petrol,WA
10,2017 Alfa Romeo Giulietta Super Auto,/cars/details/2017-alfa-romeo-giulietta-super-auto/OAG-AD-20794100/?Cr=12,"$32,290*","50,200 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,NSW
11,2021 Alfa Romeo Stelvio Sport Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-sport-auto-awd-my21/OAG-AD-20813439/?Cr=13,"$74,760",Build date Apr 2021,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
12,2015 Alfa Romeo Giulietta Distinctive Auto,/cars/details/2015-alfa-romeo-giulietta-distinctive-auto/SSE-AD-13076646/?Cr=14,"$24,500*","32,000 km",Hatch,Automatic,4cyl 1.4L Turbo Petrol,VIC
13,2017 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/OAG-AD-20762221/?Cr=15,"$107,990*","49,203 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,VIC
14,2022 Alfa Romeo Giulia Veloce Auto MY22,/cars/details/2022-alfa-romeo-giulia-veloce-auto-my22/OAG-AD-21000541/?Cr=16,"$78,900",Build date Apr 2022,Sedan,Automatic,4cyl 2.0L Turbo Petrol,QLD
15,2013 Alfa Romeo Giulietta Distinctive JTD-M Auto MY13,/cars/details/2013-alfa-romeo-giulietta-distinctive-jtd-m-auto-my13/OAG-AD-20822904/?Cr=17,"$14,990*","92,396 km",Hatch,Automatic,4cyl 2.0L Turbo Diesel,NSW
16,2022 Alfa Romeo Giulia Veloce Auto MY22,/cars/details/2022-alfa-romeo-giulia-veloce-auto-my22/OAG-AD-21000495/?Cr=18,"$80,900",Build date Apr 2022,Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
17,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-21000590/?Cr=24,"$95,700",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,NSW
18,2022 Alfa Romeo Stelvio Quadrifoglio Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-quadrifoglio-auto-awd-my22/OAG-AD-20938344/?Cr=25,"$175,888",Build date Apr 2022,SUV,Automatic,6cyl 2.9L Turbo Petrol,NSW
19,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-21000672/?Cr=26,"$90,900",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
20,2018 Alfa Romeo 4C Auto,/cars/details/2018-alfa-romeo-4c-auto/OAG-AD-20764332/?Cr=27,"$119,990*","14,765 km",Coupe,Automatic,4cyl 1.7L Turbo Petrol,NSW
21,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-21000569/?Cr=28,"$93,900",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
22,2021 Alfa Romeo Stelvio Quadrifoglio Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-quadrifoglio-auto-awd-my21/OAG-AD-19997457/?Cr=29,"$165,584",Build date Apr 2021,SUV,Automatic,6cyl 2.9L Turbo Petrol,QLD
